,age,time_stamp
133,Skip,2018-06-28 18:21:00+00:00
134,11-17 years,2018-06-28 18:40:00+00:00
135,Skip,2018-06-28 18:48:00+00:00
136,11-17 years,2018-06-28 19:21:00+00:00
137,10 and Under,2018-06-28 19:34:00+00:00
138,10 and Under,2018-06-28 19:36:00+00:00
139,18+,2018-06-28 19:49:00+00:00
140,18+,2018-06-29 15:33:00+00:00
141,10 and Under,2018-06-29 16:15:00+00:00
142,Skip,2018-06-29 16:20:00+00:00
143,18+,2018-06-29 17:21:00+00:00
144,11-17 years,2018-06-29 19:17:00+00:00
145,Skip,2018-06-29 19:26:00+00:00
146,11-17 years,2018-06-30 15:01:00+00:00
147,11-17 years,2018-06-30 15:13:00+00:00
148,10 and Under,2018-06-30 15:36:00+00:00
149,11-17 years,2018-06-30 15:43:00+00:00
150,11-17 years,2018-06-30 16:16:00+00:00
151,Skip,2018-06-30 16:31:00+00:00
152,Skip,2018-06-30 16:52:00+00:00
153,18+,2018-06-30 17:06:00+00:00
154,10 and Under,2018-06-30 17:24:00+00:00
155,11-17 years,2018-06-30 17:40:00+00:00
156,Skip,2018-06-30 17:58:00+00:00
157,10 and Under,2018-06-30 18:13:00+00:00
158,11-17 years,2018-06-30 18:29:00+00:00
159,10 and Under,2018-06-30 18:37:00+00:00
160,Skip,2018-06-30 18:44:00+00:00
161,10 and Under,2018-06-30 18:48:00+00:00
162,11-17 years,2018-06-30 18:50:00+00:00
163,10 and Under,2018-06-30 18:52:00+00:00
164,18+,2018-06-30 18:53:00+00:00
165,10 and Under,2018-06-30 18:54:00+00:00
166,18+,2018-06-30 18:57:00+00:00
167,18+,2018-06-30 18:59:00+00:00
168,18+,2018-06-30 19:05:00+00:00
169,11-17 years,2018-06-30 19:15:00+00:00
170,11-17 years,2018-06-30 19:28:00+00:00
171,10 and Under,2018-06-30 19:30:00+00:00
172,11-17 years,2018-06-30 19:43:00+00:00
173,18+,2018-06-30 19:52:00+00:00
174,10 and Under,2018-06-30 19:55:00+00:00
175,18+,2018-06-30 20:01:00+00:00
176,10 and Under,2018-06-30 20:05:00+00:00
177,18+,2018-07-01 14:51:00+00:00
178,18+,2018-07-01 14:56:00+00:00
179,11-17 years,2018-07-01 15:01:00+00:00
180,18+,2018-07-01 15:07:00+00:00
181,Skip,2018-07-01 15:22:00+00:00
182,Skip,2018-07-01 16:12:00+00:00
183,18+,2018-07-01 16:16:00+00:00
184,Skip,2018-07-01 17:05:00+00:00
185,11-17 years,2018-07-01 17:09:00+00:00
