,classification_id,username,created_at,subject_data,subject_id,age_group,validity,in_time_range,angle,intersection_point_x,intersection_point_y,major_axis_length,major_x1,major_y1,major_x2,major_y2,minor_axis_length,minor_x1,minor_y1,minor_x2,minor_y2
0,115000288,not-logged-in-d3236f798a281008a643,2018-06-21 17:31:00+00:00,"{""8735462"":{""retired"":{""id"":5262315,""workflow_id"":3449,""classifications_count"":1063,""created_at"":""2017-04-03T17:44:21.845Z"",""updated_at"":""2017-04-20T00:40:29.433Z"",""retired_at"":""2017-04-20T00:40:29.428Z"",""subject_id"":8735462,""retirement_reason"":""classification_count""},"""":"""",""latitude"":""-40.96726"",""longitude"":""175.8757611"",""image_name"":""PLD_12021_branch100x_00006.jpg"",""collector_name"":""Peter de Lange"",""data_collected"":""Feb 26, 2009"",""other comments"":""Corticolous on rohata (Lophomyrtus obcordata) in dense alluvial forest""}}",8735462,10 and Under,Good,In,89.7129083,453.8389406,357.4230494,192.3746345,448,264,460,456,87.14355972,496,355,409,360
0,115001053,not-logged-in-d3236f798a281008a643,2018-06-21 17:35:00+00:00,"{""8735436"":{""retired"":{""id"":5358844,""workflow_id"":3449,""classifications_count"":1356,""created_at"":""2017-04-04T17:41:45.447Z"",""updated_at"":""2017-04-20T00:09:57.371Z"",""retired_at"":""2017-04-20T00:09:57.330Z"",""subject_id"":8735436,""retirement_reason"":""classification_count""},"""":"""",""latitude"":""-41.95131"",""longitude"":""146.71142"",""image_name"":""F_1061443_br_F_X100_00058.jpg"",""collector_name"":""John J. Engel"",""data_collected"":""Jan 4, 2005"",""other comments"":""On bark""}}",8735436,11-17 years,Good,In,89.57413,220.4342979,327.9941598,135.532284,153,322,288,334,83.38465087,224,291,216,374
0,115001053,not-logged-in-d3236f798a281008a643,2018-06-21 17:35:00+00:00,"{""8735436"":{""retired"":{""id"":5358844,""workflow_id"":3449,""classifications_count"":1356,""created_at"":""2017-04-04T17:41:45.447Z"",""updated_at"":""2017-04-20T00:09:57.371Z"",""retired_at"":""2017-04-20T00:09:57.330Z"",""subject_id"":8735436,""retirement_reason"":""classification_count""},"""":"""",""latitude"":""-41.95131"",""longitude"":""146.71142"",""image_name"":""F_1061443_br_F_X100_00058.jpg"",""collector_name"":""John J. Engel"",""data_collected"":""Jan 4, 2005"",""other comments"":""On bark""}}",8735436,11-17 years,Good,In,87.55250042,495.0381304,462.6888069,121.823643,457,414,532,510,80.15609771,463,490,524,438
0,115001053,not-logged-in-d3236f798a281008a643,2018-06-21 17:35:00+00:00,"{""8735436"":{""retired"":{""id"":5358844,""workflow_id"":3449,""classifications_count"":1356,""created_at"":""2017-04-04T17:41:45.447Z"",""updated_at"":""2017-04-20T00:09:57.371Z"",""retired_at"":""2017-04-20T00:09:57.330Z"",""subject_id"":8735436,""retirement_reason"":""classification_count""},"""":"""",""latitude"":""-41.95131"",""longitude"":""146.71142"",""image_name"":""F_1061443_br_F_X100_00058.jpg"",""collector_name"":""John J. Engel"",""data_collected"":""Jan 4, 2005"",""other comments"":""On bark""}}",8735436,11-17 years,Good,In,89.353503,582.1036929,270.6489143,144.5060552,552,206,613,337,80.95677859,548,287,621,252
0,115001053,not-logged-in-d3236f798a281008a643,2018-06-21 17:35:00+00:00,"{""8735436"":{""retired"":{""id"":5358844,""workflow_id"":3449,""classifications_count"":1356,""created_at"":""2017-04-04T17:41:45.447Z"",""updated_at"":""2017-04-20T00:09:57.371Z"",""retired_at"":""2017-04-20T00:09:57.330Z"",""subject_id"":8735436,""retirement_reason"":""classification_count""},"""":"""",""latitude"":""-41.95131"",""longitude"":""146.71142"",""image_name"":""F_1061443_br_F_X100_00058.jpg"",""collector_name"":""John J. Engel"",""data_collected"":""Jan 4, 2005"",""other comments"":""On bark""}}",8735436,11-17 years,Good,In,86.99500837,439.3830201,182.8554763,137.5281789,421,113,456,246,78.64477096,405,190,482,174
0,115001053,not-logged-in-d3236f798a281008a643,2018-06-21 17:35:00+00:00,"{""8735436"":{""retired"":{""id"":5358844,""workflow_id"":3449,""classifications_count"":1356,""created_at"":""2017-04-04T17:41:45.447Z"",""updated_at"":""2017-04-20T00:09:57.371Z"",""retired_at"":""2017-04-20T00:09:57.330Z"",""subject_id"":8735436,""retirement_reason"":""classification_count""},"""":"""",""latitude"":""-41.95131"",""longitude"":""146.71142"",""image_name"":""F_1061443_br_F_X100_00058.jpg"",""collector_name"":""John J. Engel"",""data_collected"":""Jan 4, 2005"",""other comments"":""On bark""}}",8735436,11-17 years,Good,In,88.65022161,316.6653624,86.95916979,140.943251,296,11,333,147,83.43260753,276,97,357,77
0,115001053,not-logged-in-d3236f798a281008a643,2018-06-21 17:35:00+00:00,"{""8735436"":{""retired"":{""id"":5358844,""workflow_id"":3449,""classifications_count"":1356,""created_at"":""2017-04-04T17:41:45.447Z"",""updated_at"":""2017-04-20T00:09:57.371Z"",""retired_at"":""2017-04-20T00:09:57.330Z"",""subject_id"":8735436,""retirement_reason"":""classification_count""},"""":"""",""latitude"":""-41.95131"",""longitude"":""146.71142"",""image_name"":""F_1061443_br_F_X100_00058.jpg"",""collector_name"":""John J. Engel"",""data_collected"":""Jan 4, 2005"",""other comments"":""On bark""}}",8735436,11-17 years,Bad,In,5.305109606,88,206.1285714,140.6022759,22,200,162,213,79,88,249,88,170
0,115001261,not-logged-in-d3236f798a281008a643,2018-06-21 17:37:00+00:00,"{""8735462"":{""retired"":{""id"":5262315,""workflow_id"":3449,""classifications_count"":1063,""created_at"":""2017-04-03T17:44:21.845Z"",""updated_at"":""2017-04-20T00:40:29.433Z"",""retired_at"":""2017-04-20T00:40:29.428Z"",""subject_id"":8735462,""retirement_reason"":""classification_count""},"""":"""",""latitude"":""-40.96726"",""longitude"":""175.8757611"",""image_name"":""PLD_12021_branch100x_00006.jpg"",""collector_name"":""Peter de Lange"",""data_collected"":""Feb 26, 2009"",""other comments"":""Corticolous on rohata (Lophomyrtus obcordata) in dense alluvial forest""}}",8735462,18+,Good,In,88.55807663,452.2723112,344.812357,168.4280262,447,271,459,439,93.43446901,409,349,502,340
0,115001376,not-logged-in-d3236f798a281008a643,2018-06-21 17:38:00+00:00,"{""8735435"":{""retired"":{""id"":5266526,""workflow_id"":3449,""classifications_count"":1288,""created_at"":""2017-04-03T21:06:07.215Z"",""updated_at"":""2017-04-20T00:09:43.383Z"",""retired_at"":""2017-04-20T00:09:43.341Z"",""subject_id"":8735435,""retirement_reason"":""classification_count""},"""":"""",""latitude"":""-29.26666667"",""longitude"":""-177.9166667"",""image_name"":""Dna_F063_stem_100x_00119.jpg"",""collector_name"":""R.J. Stanley"",""data_collected"":""Dec 31, 2001"",""other comments"":""on fallen pohutukawa, with Metalejeunea""}}",8735435,18+,Good,In,87.28721374,184.2804306,441.1125219,145.0310312,186,358,183,503,75.02666193,151,442,226,440
0,115001376,not-logged-in-d3236f798a281008a643,2018-06-21 17:38:00+00:00,"{""8735435"":{""retired"":{""id"":5266526,""workflow_id"":3449,""classifications_count"":1288,""created_at"":""2017-04-03T21:06:07.215Z"",""updated_at"":""2017-04-20T00:09:43.383Z"",""retired_at"":""2017-04-20T00:09:43.341Z"",""subject_id"":8735435,""retirement_reason"":""classification_count""},"""":"""",""latitude"":""-29.26666667"",""longitude"":""-177.9166667"",""image_name"":""Dna_F063_stem_100x_00119.jpg"",""collector_name"":""R.J. Stanley"",""data_collected"":""Dec 31, 2001"",""other comments"":""on fallen pohutukawa, with Metalejeunea""}}",8735435,18+,Good,In,83.14227033,284.2809857,354.8470026,138.2316896,288,419,280,281,79.24645102,250,361,328,347
