in_analysis,GenID,isolate,species,Region,subregion,,,Collector,number
F296_parhamii_Fi,F296_parhamii_Fi,F296,parhamii,FI,,Fiji,,"Von Konrat, Matt",12/052a
F298_parhamii_Fi,F298_parhamii_Fi,F298,parhamii,FI,,Fiji,,"Von Konrat, Matt",12/052g
F301_chevalieri_Fi,F301_cf_chevalieri_Fi,F301,chevalieri,FI,,Fiji,,"Von Konrat, Matt",10--5-27
F314_chevalieri_NC,F314_cf_chevalieri_NC,F314,chevalieri,NC,,New Caledonia,,"Larraín, Juan",36082
F320_microscopica_NC,F320_microscopica_NC,F320,microscopica,NC,,New Caledonia,,"Larraín, Juan",36112
F328_rostrata_AUnsw,F328_rostrata_AU,F328,rostrata,AUS,nsw,Australia,New South Wales,"Pócs, T.",99150/A
F360_rostrata_NZ_X,F360_rostrata_NZ,F360,coastal,NZ,????,New Zealand,,"de Lange, Peter",11106
F374_chevalieri_NC,F374_cf_chevalieri_NC,F374,chevalieri,NC,,New Caledonia,,"Larraín, Juan",36111
F380_cf_neocaledonica_NC,F380_cf_neocaledonica_NC,F380,neocaledonica,NC,,New Caledonia,,"Larraín, Juan",35883
F411_magellanica3_Ch,F411_mage3_Ch,F411,mag3,CH,,Chile,,"Von Konrat, Matt",6469
,F412_junghuniana_Fi,F412,chevalieri,FI,,Fiji,,"Von Konrat, Matt",10--5-6
gb_knightbridgei_NZn,gb_knightbridgei_NZ,GB,knightbridgei,NZ,????,New Zealand,,,
,gb_lobulata_398,GB,lobulata,CH,,Chile,,,
,gb_magellanica_397_Ch,GB,fertilis,CH,,Chile,,,
,gb_microcaulis_396,GB,microcaulis,CH,,Chile,,,
,gb_parhamii_426_Fi,GB,parhamii,FI,,Fiji,,,
gb_rostrata_194_NZ_south,gb_rostrata_194_NZ_south,GB,rostrata,NZ,south,New Zealand,South Island,,
gb_rostrata_392_NZ_south,gb_rostrata_392_NZ_south,GB,rostrata,NZ,south,New Zealand,South Island,,
,gb_rostrata_Cameron_NZ_Motukowhai,GB,coastal,NZ,???,New Zealand,,,
,gb_rostrata_deLange8034_NZ_northIs,GB,coastal,NZ,north,New Zealand,North Island,,
,gb_rostrata_deLange8037_NZ_northIs,GB,coastal,NZ,north,New Zealand,North Island,,
,gb_rostrata_deLangeK376_KERM,GB,coastal,KERM,,Kermadec Islands,,,
,gb_rostrata_Stanley_sn_KERM,GB,coastal,KERM,,Kermadec Islands,,,
,gb_sp_deLange8038_NZ_northIs,GB,rostrata,NZ,north,New Zealand,North Island,,
,xF075_rostrata_NZ,F075,rostrata,NZ,,,,,
F087_junghuhniana_Fi,xF087_junghuhniana_Fi,F087,junghuhniana,FI,,Fiji,,"Norris, D.H.",45079
,xF103_rostrata_NZ,F103,coastal,NZ,?????,New Zealand,,"Blanchon, D.J.",AK301382
,xF184_rostrata_NZ,F184,rostrata,,,,,,
F217_truncatistyla_NZn,xF217_truncatistyla_NZ,F217,truncatistyla,NZ,,New Zealand,,"Engel, John & von Konrat",24175
,xF218knightbridgei,F218,knightbridgei,NZ,????,New Zealand,,"Von Konrat, Matt",99-1209
,xF219_lobulata_Ch,F219,lobulata,CH,,Chile,,"Engel, John",25277
,xF220_indet_XX,F220,DELETE,,,,,,
,xF221_microcaulis_Ch,F221,microcaulis,CH,,Chile,,"Engel, John",25360
,xF258_rostrata_NZ,F258,rostrata,NZ,?????,New Zealand,,"Engel, John & M. von Konrat",7 Whanau 2000
,xF262_toropuku_NZ,F262,toropuku,NZ,????,New Zealand,,"Von Konrat, Matt",Paterson
,xF263_rostrata_plicata_NZ,F263,rostrata,NZ,????,New Zealand,,"Von Konrat, Matt",98/58
F271_junghuniana_Fi,xF271_junghuniana_Fi,F271,junghuhniana,FI,,Fiji,,"Von Konrat, Matt",ratasite
,xF286_cf_chev_Fi,F286,chevalieri,FI,,Fiji,,"Von Konrat, Matt",10-5-29f
,xF375_neocal_NC,F375,neocaledonica,NC,,New Caledonia,,"Larraín, Juan",35871
,xF376_cf_chev_NC,F376,chevalieri,NC,,New Caledonia,,"Larraín, Juan",35841
,xF377_cf_chev_NC,F377,chevalieri,NC,,New Caledonia,,"Larraín, Juan",35907
,xF384_indet_NC,F384,DELETE,NC,,New Caledonia,,,
,xF385_cf_chev_NC,F385,chevalieri,NC,,New Caledonia,,"Larraín, Juan",35899
,xF407_parhamii_Fi,F407,parhamii,FI,,Fiji,,"Von Konrat, Matt",12/051a
,xF415_rostrata_NZ,F415,coastal,NZ,????,New Zealand,,"de Lange, Peter",11245
