in_analysis,GenID,isolate,species,Region,subregion,,,Collector,number
D279_microcaulis_Ch,D279_microcaulis_Ch,D279,microcaulis,CH,,Chile,,"Larraín, Juan",36429
D280_lobulata_Ch,D280_lobulata_Ch,D280,lobulata,CH,,Chile,,"Buck, Bill",58386
D281_lobulata_Ch,D281_lobulata_Ch,D281,lobulata,CH,,Chile,,"Briscoe, Laura",1130B
D282_lobulata_Ch,D282_lobulata_Ch,D282,lobulata,CH,,Chile,,"Von Konrat, Matt",10054
D283_lobulata_Ch,D283_lobulata_Ch,D283,lobulata,CH,,Chile,,"Briscoe, Laura",1857
D284_lobulata_Ch,D284_lobulata_Ch,D284,lobulata,CH,,Chile,,"Larraín, Juan",36220
D285_lobulata_Ch,D285_lobulata_Ch,D285,lobulata,CH,,Chile,,"Larraín, Juan",36331
D286_lobulata_Ch,D286_lobulata_Ch,D286,lobulata,CH,,Chile,,"Buck, Bill",58371
D288_rostrata_NZn,D288_rostrata_NZ_Gisborne,D288,rostrata,NZ,north,New Zealand,North Island,"de Lange, Peter",11612b
D290_coastal_NZn,D290_cf_coastal_NZ_HawkesBay,D290,coastal,NZ,north,New Zealand,North Island,"de Lange, Peter",11489
D291_coastal_NZn,D291_cf_coastal_NZ_Aukland,D291,coastal,NZ,north,New Zealand,North Island,"de Lange, Peter",11473
D292_coastal_NZn,D292_cf_coastal_NZ_Gisborne,D292,coastal,NZ,north,New Zealand,North Island,"de Lange, Peter",11494
D293_coastal_NZn,D293_cf_coastal_NZ_HawkesBay,D293,coastal,NZ,north,New Zealand,North Island,"de Lange, Peter",11455B
D294_rostrata_NZn,D294_rostrata_NZ_Aukland,D294,rostrata,NZ,north,New Zealand,North Island,"de Lange, Peter",11219
D295_rostrata_NZn,D295_rostrata_NZ_Wellington,D295,rostrata,NZ,north,New Zealand,North Island,"de Lange, Peter",11191
D296_coastal_NZn,D296_rostrata_NZ_Waitakere,D296,coastal,NZ,north,New Zealand,North Island,"de Lange, Peter",11245
D297_coastal_NZn,D297_cf_rostrata_NZ_Gisborne,D297,coastal,NZ,north,New Zealand,North Island,"de Lange, Peter",11498
D298_rostrata_NZ,D298_rostrata_NZ,D298,rostrata,NZ,north,New Zealand,North Island,"de Lange, Peter",11610
D299_coastal_NZn,D299_cf_rostrata_NZ_Aukland,D299,coastal,NZ,north,New Zealand,North Island,"de Lange, Peter",11239
D300_coastal_NZn,D300_cf_coastal_NZ_Aukland,D300,coastal,NZ,north,New Zealand,North Island,"de Lange, Peter",11215
D301_coastal_NZn,D301_cf_coastal_NZ_Opape,D301,coastal,NZ,north,New Zealand,North Island,"de Lange, Peter",11373
D303_coastal_NZn,D303_rostrata_NZ_BayPlenty,D303,coastal,NZ,north,New Zealand,North Island,"de Lange, Peter",11371
D304_rostrata_NZn,D304_rostrata_NZ_northIs,D304,rostrata,NZ,north,New Zealand,North Island,"Rolfe, Jeremy R.",PDL12
D305_rostrata_NZ,D305_rostrata_NZ,D305,rostrata,NZ,?????,New Zealand,,"Engel, John & von Konrat",27948
D307_rostrata_NZ,D307_rostrata_NZ,D307,rostrata,NZ,???,New Zealand,,"Engel, John & von Konrat",24423
D308_fertilis_Ch,D308_fertilis_Ch,D308,fertilis,CH,,Chile,,"Engel, John",25265
D309_magellanica1_Ch,D309_mage1_Ch,D309,mage1,CH,,Chile,,"Von Konrat, Matt",6430
D310_fertilis_Ch,D310_fertilis_Ch,D310,fertilis,CH,,Chile,,"Briscoe, Laura",2009
D312_magellanica1_Ch,D312_mage1_Ch,D312,mage1,CH,,Chile,,"Von Konrat, Matt",9818
D313_magellanica1_Ch,D313_mage1_Ch,D313,mage1,CH,,Chile,,"Von Konrat, Matt",9643
D314_magellanica1_Ch,D314_mage1_Ch,D314,mage1,CH,,Chile,,"Von Konrat, Matt",9648
D315_magellanica1_Ch,D315_mage1_Ch,D315,mage1,CH,,Chile,,"Von Konrat, Matt",9651
D316_magellanica1_Ch,D316_mage1_Ch,D316,mage1,CH,,Chile,,"Von Konrat, Matt",9652
D317_magellanica1_Ch,D317_mage1_Ch,D317,mag3,CH,,Chile,,"Von Konrat, Matt",9989
