Time_Stamp,Age
2018-08-02 11:38,11-17 years
2018-08-02 11:55,18+
2018-08-02 12:02,10 and Under
2018-08-02 12:07,10 and Under
2018-08-02 12:08,10 and Under
2018-08-02 12:55,18+
2018-08-02 12:57,10 and Under
2018-08-02 13:00,Skip
2018-08-02 13:01,18+
2018-08-02 13:21,10 and Under
2018-08-02 13:43,11-17 years
2018-08-02 14:09,11-17 years
2018-08-02 14:13,10 and Under
2018-08-02 14:23,18+
2018-08-02 14:42,10 and Under
2018-08-02 14:49,18+
2018-08-03 10:26,Skip
2018-08-03 10:34,11-17 years
2018-08-03 10:39,10 and Under
2018-08-03 10:43,18+
2018-08-03 11:02,Skip
2018-08-03 11:03,18+
2018-08-03 11:29,Skip
2018-08-03 11:31,Skip
2018-08-03 11:48,18+
2018-08-03 11:58,10 and Under
2018-08-03 12:05,10 and Under
2018-08-03 12:18,10 and Under
2018-08-03 12:22,10 and Under
2018-08-03 12:27,Skip
2018-08-03 12:44,18+
2018-08-03 13:13,10 and Under
2018-08-03 13:35,10 and Under
2018-08-03 14:02,Skip
2018-08-03 14:11,Skip
2018-08-03 14:40,Skip
2018-08-03 14:54,10 and Under
2018-08-04 10:21,18+
2018-08-04 10:53,18+
2018-08-04 10:56,10 and Under
2018-08-04 10:59,Skip
2018-08-04 11:26,10 and Under
2018-08-04 11:32,18+
2018-08-04 12:09,18+
2018-08-04 12:25,18+
2018-08-04 12:27,10 and Under
2018-08-04 12:30,18+
2018-08-04 12:32,18+
2018-08-04 12:40,10 and Under
2018-08-04 12:42,10 and Under
2018-08-04 12:50,11-17 years
2018-08-04 13:00,18+
2018-08-04 13:03,18+
2018-08-04 13:05,Skip
2018-08-04 13:10,11-17 years
2018-08-04 13:24,10 and Under
2018-08-04 13:27,10 and Under
2018-08-04 13:49,Skip
2018-08-04 14:01,Skip
2018-08-04 14:03,Skip
2018-08-04 14:07,18+
2018-08-04 14:09,10 and Under
2018-08-04 14:10,11-17 years
2018-08-04 14:14,11-17 years
2018-08-04 14:16,10 and Under
2018-08-04 14:44,18+
2018-08-05 10:59,Skip
2018-08-05 11:03,10 and Under
2018-08-05 11:29,18+
2018-08-05 11:31,10 and Under
2018-08-05 12:15,18+
2018-08-05 12:52,10 and Under
2018-08-05 12:54,11-17 years
2018-08-05 12:55,18+
2018-08-05 13:05,Skip
2018-08-05 13:16,11-17 years
2018-08-05 13:27,18+
2018-08-05 13:32,18+
2018-08-05 13:36,10 and Under
2018-08-05 13:50,10 and Under
2018-08-05 14:00,18+
2018-08-05 14:03,10 and Under
2018-08-05 14:05,18+
2018-08-05 14:24,18+
2018-08-05 14:27,11-17 years
2018-08-05 14:30,10 and Under
2018-08-05 14:41,18+
2018-08-05 14:42,18+
2018-08-06 10:24,18+
2018-08-06 10:25,18+
2018-08-06 10:26,18+
2018-08-06 10:58,10 and Under
2018-08-06 11:06,10 and Under
2018-08-06 11:18,11-17 years
2018-08-06 11:20,18+
2018-08-06 11:21,Skip
2018-08-06 11:22,18+
2018-08-06 11:38,10 and Under
2018-08-06 11:39,11-17 years
2018-08-06 11:44,10 and Under
2018-08-06 11:46,10 and Under
2018-08-06 11:48,10 and Under
2018-08-06 11:52,Skip
2018-08-06 12:04,10 and Under
2018-08-06 12:07,10 and Under
2018-08-06 12:19,18+
2018-08-06 12:22,18+
2018-08-06 12:23,10 and Under
2018-08-06 12:26,10 and Under
2018-08-06 12:26,Skip
2018-08-06 12:28,10 and Under
2018-08-06 12:41,Skip
2018-08-06 12:42,18+
2018-08-06 12:52,11-17 years
2018-08-06 13:20,18+
2018-08-07 10:19,10 and Under
2018-08-07 10:41,18+
2018-08-07 10:55,Skip
2018-08-07 11:28,10 and Under
2018-08-07 11:29,Skip
2018-08-07 11:59,10 and Under
2018-08-07 12:13,18+
2018-08-07 12:17,11-17 years
2018-08-07 12:18,11-17 years
2018-08-07 12:24,18+
2018-08-07 12:36,11-17 years
2018-08-07 12:50,10 and Under
2018-08-07 13:07,Skip
2018-08-07 13:13,10 and Under
2018-08-07 13:14,11-17 years
2018-08-07 13:22,10 and Under
2018-08-07 13:24,18+
2018-08-07 13:39,10 and Under
2018-08-07 14:08,18+
2018-08-07 14:09,Skip
2018-08-07 14:16,11-17 years
2018-08-07 14:23,10 and Under
2018-08-07 14:26,18+
2018-08-07 14:39,10 and Under
2018-08-07 14:44,11-17 years
2018-08-07 14:46,11-17 years
2018-12-27 08:55,Skip
2018-12-27 13:54,18+
2018-12-27 14:16,Skip
2018-12-27 14:50,18+
