Time_Stamp,Age
2018-07-02 11:17,18+
2018-07-02 11:24,18+
2018-07-02 11:37,Skip
2018-07-02 11:49,10 and Under
2018-07-02 11:55,11-17 years
2018-07-02 12:00,18+
2018-07-02 12:59,18+
2018-07-02 13:07,Skip
2018-07-02 13:09,Skip
2018-07-02 13:10,10 and Under
2018-07-02 13:15,10 and Under
2018-07-02 13:29,10 and Under
2018-07-02 13:37,18+
2018-07-02 13:45,18+
2018-07-02 13:50,11-17 years
2018-07-02 14:06,18+
2018-07-02 14:16,18+
2018-07-02 14:34,10 and Under
2018-07-02 14:45,Skip
2018-07-02 14:47,10 and Under
2018-07-02 14:50,Skip
2018-07-03 10:09,Skip
2018-07-03 10:13,11-17 years
2018-07-03 10:14,Skip
2018-07-03 10:17,Skip
2018-07-03 10:54,10 and Under
2018-07-03 11:00,18+
2018-07-03 11:42,11-17 years
2018-07-03 11:51,Skip
2018-07-03 11:57,10 and Under
2018-07-03 12:01,10 and Under
2018-07-03 12:11,Skip
2018-07-03 12:19,11-17 years
2018-07-03 12:35,Skip
2018-07-03 12:49,18+
2018-07-03 13:06,18+
2018-07-03 13:15,10 and Under
2018-07-03 13:17,10 and Under
2018-07-03 13:30,10 and Under
2018-07-03 13:36,10 and Under
2018-07-03 13:45,10 and Under
2018-07-03 13:53,18+
2018-07-03 14:06,18+
2018-07-03 14:23,10 and Under
2018-07-03 14:25,11-17 years
2018-07-03 14:39,18+
2018-07-03 14:43,18+
2018-07-03 14:51,10 and Under
2018-07-04 10:45,Skip
2018-07-04 10:46,11-17 years
2018-07-04 11:00,10 and Under
2018-07-04 11:22,11-17 years
2018-07-04 11:29,Skip
2018-07-04 11:44,11-17 years
2018-07-04 11:54,11-17 years
2018-07-04 11:58,Skip
2018-07-04 12:04,10 and Under
2018-07-04 12:12,10 and Under
2018-07-04 12:14,18+
2018-07-04 12:28,18+
2018-07-04 12:36,18+
2018-07-04 12:44,18+
2018-07-04 13:41,10 and Under
2018-07-04 14:01,11-17 years
2018-07-04 14:05,18+
2018-07-04 14:07,11-17 years
2018-07-04 14:10,11-17 years
2018-07-04 14:18,18+
2018-07-04 14:25,11-17 years
2018-07-04 14:30,11-17 years
2018-07-05 10:09,10 and Under
2018-07-05 10:21,11-17 years
2018-07-05 10:28,18+
2018-07-05 10:40,11-17 years
2018-07-05 10:43,18+
2018-07-05 10:57,10 and Under
2018-07-05 10:59,10 and Under
2018-07-05 11:04,11-17 years
2018-07-05 11:06,10 and Under
2018-07-05 11:10,10 and Under
2018-07-05 11:11,11-17 years
2018-07-05 11:15,10 and Under
2018-07-05 11:17,11-17 years
2018-07-05 11:25,11-17 years
2018-07-05 11:29,18+
2018-07-05 11:37,11-17 years
2018-07-05 11:57,10 and Under
2018-07-05 12:23,10 and Under
2018-07-05 12:28,10 and Under
2018-07-05 12:36,10 and Under
2018-07-05 12:40,11-17 years
2018-07-05 12:54,18+
2018-07-05 12:59,10 and Under
2018-07-05 13:37,11-17 years
2018-07-05 13:46,18+
2018-07-05 13:54,10 and Under
2018-07-05 14:01,18+
2018-07-05 14:12,Skip
2018-07-05 14:20,11-17 years
2018-07-06 10:22,18+
2018-07-06 10:26,10 and Under
2018-07-06 10:47,18+
2018-07-06 10:53,10 and Under
2018-07-06 10:56,10 and Under
2018-07-06 11:17,18+
2018-07-06 11:29,18+
2018-07-06 11:37,18+
2018-07-06 11:42,18+
2018-07-06 11:52,11-17 years
2018-07-06 12:00,18+
2018-07-06 12:16,10 and Under
2018-07-06 12:17,Skip
2018-07-06 12:19,Skip
2018-07-06 12:22,10 and Under
2018-07-06 12:26,Skip
2018-07-06 12:33,11-17 years
2018-07-06 12:47,11-17 years
2018-07-06 13:02,18+
2018-07-06 13:12,11-17 years
2018-07-06 13:17,10 and Under
2018-07-06 13:22,Skip
2018-07-06 13:25,Skip
2018-07-06 13:34,18+
2018-07-06 13:42,11-17 years
2018-07-06 13:53,11-17 years
2018-07-06 14:14,11-17 years
2018-07-06 14:23,18+
2018-07-07 10:38,18+
2018-07-07 11:26,11-17 years
2018-07-07 11:45,11-17 years
2018-07-07 11:51,Skip
2018-07-07 12:04,18+
2018-07-07 12:08,18+
2018-07-07 12:23,10 and Under
2018-07-07 12:26,11-17 years
2018-07-07 12:34,18+
2018-07-07 12:40,18+
2018-07-07 12:42,18+
2018-07-07 12:45,18+
2018-07-07 12:49,Skip
2018-07-07 12:51,10 and Under
2018-07-07 13:31,18+
2018-07-07 13:33,18+
2018-07-07 13:35,18+
2018-07-07 14:06,18+
2018-07-07 14:19,Skip
2018-07-07 14:35,18+
2018-07-07 14:45,Skip
2018-07-07 14:48,11-17 years
2018-07-07 14:49,11-17 years
2018-07-08 10:25,18+
2018-07-08 11:01,11-17 years
2018-07-08 11:37,Skip
2018-07-08 12:02,10 and Under
2018-07-08 12:16,18+
2018-07-08 12:23,18+
2018-07-08 13:36,18+
2018-07-08 13:46,18+
2018-07-08 13:59,18+
2018-07-08 14:01,18+
2018-07-08 14:08,10 and Under
2018-07-08 14:10,18+
2018-07-08 14:11,18+
2018-07-08 14:38,18+
2018-07-08 14:45,11-17 years
2018-07-08 14:48,18+
2018-07-09 10:31,11-17 years
2018-07-09 10:39,11-17 years
2018-07-09 10:55,10 and Under
2018-07-09 10:58,18+
2018-07-09 11:07,11-17 years
2018-07-09 11:14,11-17 years
2018-07-09 11:21,18+
2018-07-09 11:51,18+
2018-07-09 11:53,10 and Under
2018-07-09 11:57,11-17 years
2018-07-09 12:35,10 and Under
2018-07-09 13:10,Skip
2018-07-09 13:18,10 and Under
2018-07-09 13:20,10 and Under
2018-07-09 13:35,10 and Under
2018-07-09 13:59,10 and Under
2018-07-09 14:02,18+
2018-07-09 14:22,Skip
2018-07-09 14:31,11-17 years
2018-07-09 14:35,11-17 years
2018-07-09 14:37,18+
2018-07-09 14:38,10 and Under
2018-07-09 14:39,11-17 years
2018-07-09 14:54,11-17 years
2018-07-10 10:34,10 and Under
2018-07-10 10:52,11-17 years
2018-07-10 10:53,10 and Under
2018-07-10 11:09,10 and Under
2018-07-10 11:14,Skip
2018-07-10 11:15,11-17 years
2018-07-10 12:12,Skip
2018-07-10 12:14,11-17 years
2018-07-10 12:22,11-17 years
2018-07-10 12:31,18+
2018-07-10 12:35,11-17 years
2018-07-10 12:44,11-17 years
2018-07-10 13:06,Skip
2018-07-10 13:49,18+
2018-07-10 14:13,10 and Under
2018-07-10 14:15,10 and Under
2018-07-10 14:37,Skip
2018-07-10 15:05,18+
2018-07-10 15:06,Skip
2018-07-11 10:28,Skip
2018-07-11 10:41,11-17 years
2018-07-11 10:41,18+
2018-07-11 10:42,10 and Under
2018-07-11 10:42,11-17 years
2018-07-11 10:44,10 and Under
2018-07-11 11:13,10 and Under
2018-07-11 11:19,11-17 years
2018-07-11 11:23,18+
2018-07-11 11:40,18+
2018-07-11 11:46,18+
2018-07-11 12:15,Skip
2018-07-11 12:18,11-17 years
2018-07-11 12:25,10 and Under
2018-07-11 12:40,11-17 years
2018-07-11 12:59,18+
2018-07-11 13:35,18+
2018-07-11 13:57,18+
2018-07-11 18:43,10 and Under
2018-07-11 19:38,10 and Under
2018-07-11 20:13,18+
2018-07-12 10:19,Skip
2018-07-12 10:44,Skip
2018-07-12 10:46,10 and Under
2018-07-12 10:49,Skip
2018-07-12 10:51,18+
2018-07-12 12:09,10 and Under
2018-07-12 12:42,Skip
2018-07-12 12:44,10 and Under
2018-07-12 12:47,10 and Under
2018-07-12 12:55,10 and Under
2018-07-12 12:55,10 and Under
2018-07-12 13:04,Skip
2018-07-12 13:05,10 and Under
2018-07-12 13:11,10 and Under
2018-07-12 13:26,Skip
2018-07-12 13:40,10 and Under
2018-07-12 13:55,11-17 years
2018-07-12 13:57,18+
2018-07-12 14:08,18+
2018-07-12 14:45,10 and Under
2018-07-12 14:50,18+
2018-07-12 14:53,Skip
2018-07-12 14:54,11-17 years
2018-07-12 14:54,Skip
2018-07-12 14:58,Skip
2018-07-13 11:07,10 and Under
2018-07-13 11:23,11-17 years
2018-07-13 11:26,Skip
2018-07-13 11:32,11-17 years
2018-07-13 11:47,10 and Under
2018-07-13 12:25,18+
2018-07-13 12:38,Skip
2018-07-13 13:14,18+
2018-07-13 13:22,10 and Under
2018-07-13 13:27,10 and Under
2018-07-13 13:31,18+
2018-07-13 13:54,18+
2018-07-13 13:57,11-17 years
2018-07-13 14:05,10 and Under
2018-07-13 14:31,10 and Under
2018-07-13 14:34,10 and Under
2018-07-13 14:47,Skip
2018-07-13 14:58,10 and Under
2018-07-14 10:15,11-17 years
2018-07-14 10:35,11-17 years
2018-07-14 10:45,18+
2018-07-14 10:47,11-17 years
2018-07-14 10:59,18+
2018-07-14 11:03,11-17 years
2018-07-14 11:07,11-17 years
2018-07-14 11:26,10 and Under
2018-07-14 11:35,10 and Under
2018-07-14 12:06,18+
2018-07-14 12:27,18+
2018-07-14 12:28,10 and Under
2018-07-14 12:34,11-17 years
2018-07-14 12:49,10 and Under
2018-07-14 12:53,10 and Under
2018-07-14 12:57,18+
2018-07-14 13:04,11-17 years
2018-07-14 13:09,10 and Under
2018-07-14 13:29,10 and Under
2018-07-14 13:31,10 and Under
2018-07-14 13:38,18+
2018-07-14 13:41,11-17 years
2018-07-14 13:46,18+
2018-07-14 14:12,18+
2018-07-14 14:15,18+
2018-07-14 14:18,18+
2018-07-14 14:35,18+
2018-07-14 14:44,11-17 years
2018-07-14 14:56,18+
2018-07-14 15:00,10 and Under
2018-07-14 15:01,11-17 years
2018-07-14 15:05,18+
2018-07-15 10:54,10 and Under
2018-07-15 11:09,11-17 years
2018-07-15 11:23,11-17 years
2018-07-15 11:32,Skip
2018-07-15 11:55,10 and Under
2018-07-15 12:00,18+
2018-07-15 12:07,10 and Under
2018-07-15 12:13,18+
2018-07-15 12:15,18+
2018-07-15 12:43,18+
2018-07-15 12:57,18+
2018-07-15 13:05,10 and Under
2018-07-15 13:22,18+
2018-07-15 13:30,18+
2018-07-15 13:35,11-17 years
2018-07-15 13:48,18+
2018-07-15 13:49,10 and Under
2018-07-15 13:58,Skip
2018-07-15 14:07,10 and Under
2018-07-15 14:28,Skip
2018-07-15 14:40,18+
2018-07-15 14:56,Skip
2018-07-16 10:36,10 and Under
2018-07-16 11:19,18+
2018-07-16 11:21,10 and Under
2018-07-16 11:22,11-17 years
2018-07-16 11:49,18+
2018-07-16 12:01,18+
2018-07-16 12:03,10 and Under
2018-07-16 12:20,11-17 years
2018-07-16 12:29,10 and Under
2018-07-16 12:41,Skip
2018-07-16 12:52,18+
2018-07-16 12:55,10 and Under
2018-07-16 13:00,10 and Under
2018-07-16 13:02,10 and Under
2018-07-16 13:03,10 and Under
2018-07-16 13:16,18+
2018-07-16 13:50,Skip
2018-07-16 13:56,11-17 years
2018-07-16 14:26,11-17 years
2018-07-16 14:39,11-17 years
2018-07-16 14:50,11-17 years
2018-07-17 10:34,10 and Under
2018-07-17 10:37,10 and Under
2018-07-17 10:47,18+
2018-07-17 10:53,Skip
2018-07-17 11:15,18+
2018-07-17 11:16,18+
2018-07-17 11:24,18+
2018-07-17 11:33,10 and Under
2018-07-17 11:44,Skip
2018-07-17 11:48,10 and Under
2018-07-17 11:50,18+
2018-07-17 12:02,10 and Under
2018-07-17 12:03,11-17 years
2018-07-17 12:06,18+
2018-07-17 12:07,11-17 years
2018-07-17 12:18,11-17 years
2018-07-17 12:29,10 and Under
2018-07-17 12:39,Skip
2018-07-17 13:20,Skip
2018-07-17 13:38,18+
2018-07-17 13:50,Skip
2018-07-17 13:54,18+
2018-07-17 14:12,10 and Under
2018-07-17 14:33,11-17 years
2018-07-17 14:34,10 and Under
2018-07-18 10:30,10 and Under
2018-07-18 10:49,10 and Under
2018-07-18 11:04,18+
2018-07-18 11:29,10 and Under
2018-07-18 11:42,10 and Under
2018-07-18 11:45,Skip
2018-07-18 11:52,10 and Under
2018-07-18 12:35,Skip
2018-07-18 12:39,10 and Under
2018-07-18 12:40,11-17 years
2018-07-18 12:43,Skip
2018-07-18 12:59,18+
2018-07-18 13:07,11-17 years
2018-07-18 13:15,Skip
2018-07-18 13:16,18+
2018-07-18 13:33,10 and Under
2018-07-18 13:35,18+
