# ----------------------------------------
# All Web Site Data
# Microplants Age Survey Report
# 20180620-20190623
# ----------------------------------------

Date,Hour,Minute,Event Action,Event Label,Total Events
20180623,13,45,Answer: 11-17,SessionID: 1e8cb3215eaf110e01c46233ceeca626c53728c46d1390fb8b3906b6170cf1a6,1
20180623,13,47,Answer: 11-17,SessionID: D0438c9f145a7ca72658796bda7d394fc24deec3369e0ca69f8891609f8e0ea5,1
20180623,13,53,Answer: 18+,SessionID: 4fee3f3da5052a4722f9df2d6ccdf7c81e365b0738792498f67e9cc7a3548dab,1
20180623,13,59,Answer: 10 and Under,SessionID: 73d823eb72ad807f72c18f2e5cf99c8afc4bf37e1a154342ebf88b7663178a66,1
20180623,14,07,Answer: 18+,SessionID: 209b3f97fe114779d7fbf53563ad88746f8f79e53f6acac155caae84809b260d,1
20180623,14,25,Answer: Skip,SessionID: Fe4cc2bb18ed0d57838cc4ba9b37b4bca62fe54f040c3aa56396dca29fcfe12e,1
20180623,14,33,Answer: Skip,SessionID: Fe4cc2bb18ed0d57838cc4ba9b37b4bca62fe54f040c3aa56396dca29fcfe12e,1
20180623,14,55,Answer: Skip,SessionID: 533c6089e4cb7c35b582aac582a59314c4ca1b1c02dd0e2ea52a68166fc88539,1
20180623,15,00,Answer: 10 and Under,SessionID: 533c6089e4cb7c35b582aac582a59314c4ca1b1c02dd0e2ea52a68166fc88539,1
20180624,10,12,Answer: Skip,SessionID: 63bba81a4f177593e7438d9b46cdc5deb10dd249137a6cdddf318db4dc05a009,1
20180624,10,42,Answer: 10 and Under,SessionID: 568828b5bcec14b26111745a3c22918e201ec290340b234f9f1d81ad0e57e8f6,1
20180624,11,07,Answer: 10 and Under,SessionID: 4d3248b24f01fee8626f011d587e663f61ca1c39fbbb25166b8fcd46985b0b75,1
20180624,11,10,Answer: 18+,SessionID: C23c66f90cd65f7f06b47b5b53fdc4163d79400953eab08adb8adc649a1463fa,1
20180624,11,27,Answer: Skip,SessionID: 825d3eb3f26ba67a5301d147bc08ec1ed8733aaaef9b7048375881317d45da81,1
20180624,11,45,Answer: 11-17,SessionID: 825d3eb3f26ba67a5301d147bc08ec1ed8733aaaef9b7048375881317d45da81,1
20180624,12,50,Answer: Skip,SessionID: C1c1757ef32755cbd8564303633a76918f03e50294557e94cecadc5cd499e22d,1
20180624,13,12,Answer: 18+,SessionID: 5c14129339d183e3656a7c0e742a6118b67688824c6e3f8b259b99ab0076bcbd,1
20180624,13,21,Answer: Skip,SessionID: 0132af4f8e21430ba95fd4f0f4d88fbe1c8abe6475ca6a9f1ae693fb0ce1703a,1
20180624,13,22,Answer: Skip,SessionID: 0132af4f8e21430ba95fd4f0f4d88fbe1c8abe6475ca6a9f1ae693fb0ce1703a,1
20180624,13,58,Answer: 10 and Under,SessionID: 02c65eaa830c7ab2be5872b3598b2d0c0fb9c9527f1008d4ae826f17982b0f62,1
20180624,14,13,Answer: 18+,SessionID: 76412adf3819170fde8609ca6698df62b05b64c0d1330d3d03af2526852bfb37,1
20180624,14,21,Answer: 10 and Under,SessionID: E0879f8e2cc2b09ff2ba4e557c8bae624fb566e190fd5ab831f22ad6aba1c90e,1
20180624,14,47,Answer: 11-17,SessionID: 8b7ec6c0107dc97e53fb7c907f26a59254b1affc08635e58aa4440b1cae5df16,1
20180624,14,48,Answer: 11-17,SessionID: 3b4ba48867adc0a944f09e45061d40899cf8ffb640bf55970245c1922ddb7aab,1
20180624,15,01,Answer: 10 and Under,SessionID: 0bff53aa97d45c1de76423b399348e38faf0ff1e16fa4bf8997152b0215484ec,1
20180625,10,12,Answer: Skip,SessionID: 0bff53aa97d45c1de76423b399348e38faf0ff1e16fa4bf8997152b0215484ec,1
20180625,10,25,Answer: 11-17,SessionID: 8500a29c8949a8fa86441ce5d554cb14588e41ad2dae325eac11e907fe9fbb80,1
20180625,11,16,Answer: 10 and Under,SessionID: 8e65eba009b66b133f9808e4dedaef57631fcac3bd15a019d7ad99781f714a9e,1
20180625,11,45,Answer: Skip,SessionID: Ee0e9f2854e93354a9ea196aeb7b2ef57773092da5079520a250bdeeb584f597,1
20180625,11,51,Answer: 18+,SessionID: 375b89393d1ce2d1d93c788f1768422f5570cf2fd61b257860f9d7cfe56e70df,1
20180625,12,43,Answer: 10 and Under,SessionID: E8f5406c3ed8b0d6a71486908c69c9075a4b34ab97261455d3763a16393336cb,1
20180625,12,54,Answer: 10 and Under,SessionID: 8a631a5ece2d20a7b1cb136ce0ce7dbb2d9660057bcf9d132c3c1881fd084b34,1
